매장이름,구,주소
뚝섬역점,성동구,서울 성동구 상원길 38-1 (성수동1가)
마장동점,성동구,서울 성동구 고산자로 339-2 (마장동)
마장역점,성동구,서울 성동구 마장로 293-1 (마장동)
상왕십리역점,성동구,서울 성동구 무학봉15길 27 (하왕십리동)
서울숲역점,성동구,서울 성동구 왕십리로 96-1 (성수동1가)
성동구청점,성동구,서울 성동구 고산자로 269 (도선동)
성수아카데미점,성동구,서울 성동구 성수이로 118 (성수동2가)
성수우리W타워점,성동구,서울 성동구 아차산로15길 19 (성수동2가)
성수중앙점,성동구,"서울 성동구 성수일로6길 47 (성수동2가, 현성빌딩)"
신금호역점,성동구,서울 성동구 금호산길 64 (금호동2가)
옥수동점,성동구,서울 성동구 매봉길 12 (옥수동)
옥수역점,성동구,서울 성동구 한림말5길 9 (옥수동)
왕십리비트플렉스점,성동구,서울 성동구 왕십리광장로 17 (행당동)
왕십리센트라스점,성동구,서울 성동구 무학로 22 (홍익동)
왕십리역점,성동구,서울 성동구 왕십리로 309 (행당동)
응봉동점,성동구,"서울 성동구 독서당로 381 (응봉동, 현대종합상가)"
장한평역점,성동구,서울 성동구 천호대로 426 (용답동)
텐즈힐점,성동구,"서울 성동구 무학로 33 (하왕십리동, 텐즈힐)"
한양대점,성동구,서울 성동구 사근동길 4 (행당동)
행당동점,성동구,서울 성동구 고산자로 201 (행당동)
IBK고객센터점,용산구,"서울 용산구 한남대로 72 (한남동, IBK기업은행고객센터)"
동부이촌동점,용산구,서울 용산구 이촌로77길 19 (이촌동)
동자동점,용산구,서울 용산구 후암로 93 (동자동)
삼각지점,용산구,서울 용산구 한강대로 138 (한강로2가)
숙대입구역점,용산구,서울 용산구 한강대로 289 (갈월동)
순천향병원점,용산구,서울 용산구 대사관로 72
용문점,용산구,서울 용산구 원효로41길 73 (원효로2가)
용산원효점,용산구,"서울 용산구 원효로 70 (원효로4가, 신정빌딩)"
용산중앙점,용산구,서울 용산구 한강대로 52-1 (한강로3가)
용산청파점,용산구,"서울 용산구 청파로71길 10 (청파동1가, 새마을금고)"
용산효창점,용산구,서울 용산구 효창원로66길 2 (효창동)
용산후암점,용산구,"서울 용산구 후암로 40-2 (후암동, 성원빌딩)"
원효로점,용산구,서울 용산구 원효로 257 (원효로1가)
이태원역점,용산구,서울 용산구 이태원로 176 (이태원동)
금란망우점,중랑구,서울 중랑구 망우로 460 (망우동)
동원사거리점,중랑구,"서울 중랑구 겸재로 240 (면목동, 행복오피스텔)"
망우동점,중랑구,서울 중랑구 망우로 416 (망우동)
망우중앙점,중랑구,"서울 중랑구 용마산로115길 109 (망우동, 한일써너스빌리젠시2단지)"
먹골역점,중랑구,서울 중랑구 동일로157길 13 (묵동)
면목경남아너스빌점,중랑구,서울 중랑구 면목로27길 92 (면목동)
면목본동점,중랑구,서울 중랑구 면목로 370 (면목동)
묵동자이점,중랑구,"서울 중랑구 동일로 932 (묵동, 묵동자이아파트)"
봉화산역점,중랑구,서울 중랑구 신내로 211 (신내동)
사가정아이파크점,중랑구,"서울 중랑구 동일로92길 57 (면목동, 메디포레)"
사가정역점,중랑구,서울 중랑구 면목로 325 (면목동)
상봉엠코점,중랑구,"서울 중랑구 망우로 353 (상봉동, 상봉 프레미어스 엠코)"
상봉역점,중랑구,서울 중랑구 망우로 277 (상봉동)
상봉중앙점,중랑구,서울 중랑구 망우로 316 (상봉동)
서울상봉1동점,중랑구,서울 중랑구 상봉중앙로 36 (상봉동)
서울의료원점,중랑구,"서울 중랑구 신내로 156 (신내동, 서울의료원)"
서울중랑경찰서점,중랑구,서울 중랑구 신내역로3길 40-11 (신내동)
서울중화초등학교점,중랑구,"서울 중랑구 신내로7가길 7 (신내동, 제이리옴)"
서일중앙점,중랑구,"서울 중랑구 용마산로 394 (면목동, 해동검도)"
신내동점,중랑구,서울 중랑구 봉화산로 215 (신내동)
양원남부점,중랑구,서울 중랑구 양원역로 25-10 (망우동)
양원역점,중랑구,서울 중랑구 양원역로14가길 24 (망우동)
용마산역점,중랑구,서울 중랑구 면목로 254-1 (면목동)
우림시장점,중랑구,서울 중랑구 봉우재로 240 (망우동)
중랑교차로점,중랑구,서울 중랑구 동일로 683 (면목동)
중랑역점,중랑구,서울 중랑구 망우로 198 (상봉동)
중화동점,중랑구,서울 중랑구 동일로129길 1 (중화동)
중화역점,중랑구,"서울 중랑구 동일로 815, 1층"
화랑대역점,중랑구,"서울 중랑구 신내로25가길 2 (묵동, 현동학당)"
